last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Taylor, Chris,621035,119,LAD,LF,29,62,4.26,28.8
Swanson, Dansby,621020,144,ATL,SS,25,93,4.20,28.7
Lugo, Dawel,608475,116,DET,3B,25,23,,28.7
Yelich, Christian,592885,158,MIL,RF,28,82,4.16,28.7
Realmuto, J.T.,592663,143,PHI,C,28,82,4.28,28.7
Pence, Hunter,452254,140,TEX,DH,36,76,4.20,28.7
Anderson, Tim,641313,145,CWS,SS,26,100,4.17,28.7
Tucker, Cole,657061,134,PIT,SS,23,47,4.14,28.7
Gonzalez, Erik,570481,134,PIT,SS,28,24,4.23,28.6
Luplow, Jordan,656669,114,CLE,RF,26,40,4.33,28.6
Myers, Wil,571976,135,SD,CF,29,58,4.31,28.6
Maybin, Cameron,457727,147,NYY,LF,32,35,4.19,28.6
Garcia, Avisail,541645,139,TB,RF,28,88,4.38,28.6
Lopez, Nicky,670032,118,KC,2B,24,55,,28.6
Laureano, Ramon,657656,133,OAK,CF,25,80,4.24,28.6
Tapia, Raimel,606132,115,COL,LF,25,92,4.22,28.5
Dyson, Jarrod,502481,109,ARI,CF,35,69,4.09,28.5
Pham, Tommy,502054,139,TB,LF,31,115,4.40,28.5
Thomas, Lane,657041,138,STL,CF,24,10,,28.5
Hernandez, Cesar,514917,143,PHI,2B,29,126,4.20,28.5
Puello, Cesar,527049,108,LAA,LF,28,18,,28.5
Merrifield, Whit,593160,118,KC,2B,30,112,4.20,28.5
Rickard, Joey,572073,110,BAL,CF,28,49,4.23,28.5
Altherr, Aaron,571437,121,NYM,CF,28,12,,28.5
Diaz, Aledmys,649557,117,HOU,2B,29,51,4.26,28.4
Newman, Kevin,621028,134,PIT,SS,26,68,4.30,28.4
Albies, Ozzie,645277,144,ATL,2B,22,106,4.08,28.4
Herrera, Rosell,594011,146,MIA,CF,27,46,4.21,28.4
Nimmo, Brandon,607043,121,NYM,CF,26,51,4.23,28.3
Stubbs, Garrett,596117,117,HOU,C,26,10,,28.3
Garcia, Leury,544725,145,CWS,CF,28,117,4.16,28.3
Gamel, Ben,592325,158,MIL,LF,27,58,4.16,28.3
Dixon, Brandon,641525,116,DET,1B,27,31,,28.3
Margot, Manuel,622534,135,SD,CF,25,47,4.27,28.3
Bogaerts, Xander,593428,111,BOS,SS,27,117,4.26,28.3
Baez, Javier,595879,112,CHC,SS,27,114,4.23,28.3
Springer, George,543807,117,HOU,CF,30,69,4.31,28.3
Moore, Dylan,664238,136,SEA,SS,27,30,,28.3
Almora Jr., Albert,546991,112,CHC,CF,25,96,4.29,28.3
Heredia, Guillermo,628338,139,TB,CF,28,35,4.25,28.3
Altuve, Jose,514888,117,HOU,2B,29,56,4.12,28.3
Taylor, Michael A.,572191,120,WSH,CF,28,19,,28.3
Jones, JaCoby,592444,116,DET,CF,27,52,4.39,28.2
Duggar, Steven,621453,137,SF,RF,26,100,4.19,28.2
Adames, Willy,642715,139,TB,SS,24,90,4.23,28.2
Meadows, Austin,640457,139,TB,DH,24,71,4.21,28.2
Davis, Jonathan,641505,141,TOR,CF,27,22,,28.2
Marte, Ketel,606466,109,ARI,CF,26,109,4.25,28.2
Dozier, Hunter,641531,118,KC,3B,28,72,4.34,28.2
Nunez, Eduardo,456488,111,BOS,2B,32,52,4.31,28.2
Zagunis, Mark,657145,112,CHC,RF,26,18,,28.1
Pollock, A.J.,572041,119,LAD,CF,32,49,4.33,28.1
Bryant, Kris,592178,112,CHC,3B,27,95,4.25,28.1
Goodwin, Brian,571718,108,LAA,LF,29,67,4.15,28.1
Andujar, Miguel,609280,147,NYY,DH,24,15,4.32,28.1
Wilkerson, Stevie,592859,110,BAL,CF,27,53,,28.1
Judge, Aaron,592450,147,NYY,RF,27,19,,28.1
Ahmed, Nick,605113,109,ARI,SS,29,116,4.40,28.1
O'Brien, Peter,598284,146,MIA,RF,29,16,,28.1
Martin, Jason,641829,134,PIT,LF,24,17,4.17,28.1
Harper, Bryce,547180,143,PHI,RF,27,97,4.31,28.1
Santana, Danny,542454,140,TEX,2B,29,55,,28.1
Owings, Chris,572008,118,KC,2B,28,46,4.26,28.1
Lagares, Juan,501571,121,NYM,CF,30,54,4.31,28.1
Chavis, Michael,656308,111,BOS,2B,24,54,4.40,28.0
Cain, Lorenzo,456715,158,MIL,CF,33,130,4.18,28.0
Culberson, Charlie,518586,144,ATL,LF,30,16,,28.0
Grichuk, Randal,545341,141,TOR,CF,28,86,4.41,28.0
Polanco, Jorge,593871,142,MIN,SS,26,83,4.06,28.0
Dean, Austin,621573,146,MIA,LF,26,26,,28.0
Chapman, Matt,656305,133,OAK,3B,26,105,4.39,27.9
Difo, Wilmer,594694,120,WSH,SS,27,45,4.33,27.9
Hicks, Aaron,543305,147,NYY,CF,30,24,,27.9
Peraza, Jose,606299,113,CIN,2B,25,59,4.32,27.9
Eaton, Adam,594809,120,WSH,RF,31,94,4.23,27.9
Castellanos, Nicholas,592206,116,DET,RF,27,94,4.31,27.9
Puig, Yasiel,624577,113,CIN,RF,29,59,4.40,27.8
Dahl, David,621311,115,COL,LF,25,91,4.25,27.8
Yastrzemski, Mike,573262,137,SF,LF,29,17,,27.8
Pillar, Kevin,607680,137,SF,CF,30,87,4.33,27.8
Correa, Carlos,621043,117,HOU,SS,25,68,4.31,27.8
Lowe, Brandon,664040,139,TB,2B,25,64,4.25,27.8
Munoz, Yairo,622168,138,STL,2B,24,33,4.22,27.8
Fisher, Derek,605233,117,HOU,LF,26,17,,27.8
Rengifo, Luis,650859,108,LAA,2B,22,54,,27.8
Semien, Marcus,543760,133,OAK,SS,29,119,4.35,27.7
Fletcher, David,664058,108,LAA,3B,25,109,4.22,27.7
Gurriel, Yuli,493329,117,HOU,1B,35,90,4.32,27.8
Contreras, Willson,575929,112,CHC,C,27,80,4.36,27.7
Arroyo, Christian,624414,139,TB,3B,24,16,,27.7
Segura, Jean,516416,143,PHI,SS,29,139,4.17,27.7
Hiura, Keston,669374,158,MIL,2B,23,16,,27.7
Kiner-Falefa, Isiah,643396,140,TEX,C,24,61,4.30,27.7
Bote, David,623520,112,CHC,3B,26,63,4.36,27.7
Fowler, Dexter,451594,138,STL,RF,33,59,4.39,27.6
Swihart, Blake,596119,109,ARI,RF,27,26,,27.7
Villar, Jonathan,542340,110,BAL,2B,28,117,4.24,27.6
Reynolds, Bryan,668804,134,PIT,LF,24,62,,27.6
Escobar, Eduardo,500871,109,ARI,3B,30,99,4.27,27.6
Long, Shed,643418,136,SEA,2B,24,28,,27.6
Garcia, Greg,594824,135,SD,2B,30,58,4.26,27.6
Gomez, Carlos,460576,121,NYM,CF,34,17,,27.6
Betts, Mookie,605141,111,BOS,RF,27,87,4.32,27.6
Williamson, Mac,607776,136,SEA,LF,29,24,4.49,27.6
Gurriel Jr., Lourdes,666971,141,TOR,LF,26,35,,27.6
Muncy, Max,571970,119,LAD,1B,29,76,4.28,27.6
Tauchman, Mike,643565,147,NYY,LF,29,43,4.24,27.6
Moncada, Yoan,660162,145,CWS,3B,24,84,4.20,27.6
Kepler, Max,596146,142,MIN,RF,26,87,4.27,27.6
Russell, Addison,608365,112,CHC,2B,25,28,,27.6
Riley, Austin,663586,144,ATL,LF,22,23,,27.5
Wong, Kolten,543939,138,STL,2B,29,83,4.22,27.5
DeJong, Paul,657557,138,STL,SS,26,94,4.44,27.5
Farmer, Kyle,571657,113,CIN,2B,29,29,4.50,27.5
Gordon, Dee,543829,136,SEA,2B,31,66,4.07,27.5
Estrada, Thairo,642731,147,NYY,2B,23,26,,27.5
Gallo, Joey,608336,140,TEX,CF,26,43,4.43,27.5
Jansen, Danny,643376,141,TOR,C,24,52,4.45,27.5
Vargas, Ildemaro,545121,109,ARI,2B,28,59,4.30,27.5
McNeil, Jeff,643446,121,NYM,LF,27,89,4.06,27.4
Ozuna, Marcell,542303,138,STL,LF,29,94,4.45,27.4
Bauers, Jake,641343,114,CLE,LF,24,74,4.25,27.4
Frazier, Clint,640449,147,NYY,RF,25,53,4.42,27.4
Odor, Rougned,596059,140,TEX,2B,25,60,4.20,27.4
Gutierrez, Kelvin,642721,118,KC,3B,25,35,4.46,27.4
Cave, Jake,595909,142,MIN,RF,27,27,4.32,27.4
Schebler, Scott,594988,113,CIN,CF,29,34,4.34,27.4
Forsythe, Logan,523253,140,TEX,1B,32,66,4.52,27.4
Williams, Nick,608384,143,PHI,LF,26,25,4.46,27.4
Peterson, Dustin,640460,116,DET,LF,25,21,4.51,27.3
Lin, Tzu-Wei,624407,111,BOS,2B,25,15,,27.3
Severino, Pedro,600474,110,BAL,C,26,39,4.48,27.3
Urena, Richard,620446,141,TOR,2B,23,23,,27.3
Hernandez, Enrique,571771,119,LAD,2B,28,71,4.43,27.3
Crawford, J.P.,641487,136,SEA,SS,24,21,,27.3
Grossman, Robbie,543257,133,OAK,LF,30,73,4.32,27.3
Riddle, JT,595375,146,MIA,SS,28,16,,27.3
Desmond, Ian,435622,115,COL,CF,34,79,4.42,27.3
Soler, Jorge,624585,118,KC,DH,27,87,4.42,27.3
Sanchez, Yolmer,570560,145,CWS,2B,27,67,4.29,27.3
Heyward, Jason,518792,112,CHC,RF,30,81,4.33,27.3
Soto, Juan,665742,120,WSH,LF,21,87,4.28,27.2
Conforto, Michael,624424,121,NYM,RF,26,73,4.35,27.2
Freeman, Mike,502273,114,CLE,2B,32,19,,27.2
Harrison, Josh,543281,116,DET,2B,32,44,4.28,27.2
Lindor, Francisco,596019,114,CLE,SS,26,68,,27.2
McKinney, Billy,641856,141,TOR,RF,25,60,4.29,27.2
O'Hearn, Ryan,656811,118,KC,1B,26,73,4.46,27.2
Martin, Leonys,547982,114,CLE,CF,31,72,4.41,27.2
Verdugo, Alex,657077,119,LAD,CF,23,98,4.21,27.2
Pinder, Chad,640461,133,OAK,LF,27,70,4.41,27.2
Rosario, Eddie,592696,142,MIN,LF,28,85,4.30,27.2
Schoop, Jonathan,570731,142,MIN,2B,28,93,4.55,27.1
Rondon, Jose,602922,145,CWS,2B,25,41,4.31,27.1
d'Arnaud, Travis,518595,139,TB,C,30,27,4.49,27.1
Jimenez, Eloy,650391,145,CWS,LF,23,55,4.43,27.1
Bregman, Alex,608324,117,HOU,3B,25,79,4.40,27.1
Haniger, Mitch,571745,136,SEA,RF,29,88,4.48,27.1
Castro, Starlin,516770,146,MIA,2B,29,113,4.35,27.1
Walker, Christian,572233,109,ARI,1B,28,89,4.59,27.1
Rodriguez, Ronny,500135,116,DET,SS,27,49,4.40,27.1
Andrus, Elvis,462101,140,TEX,SS,31,95,4.34,27.1
Profar, Jurickson,595777,133,OAK,2B,26,85,4.34,27.1
Nunez, Renato,600524,110,BAL,DH,25,70,4.52,27.1
Bradley Jr., Jackie,598265,111,BOS,CF,29,73,4.43,27.1
Barnes, Austin,605131,119,LAD,C,30,49,4.48,27.0
Renfroe, Hunter,592669,135,SD,LF,27,52,4.43,27.0
Ohtani, Shohei,660271,108,LAA,DH,25,57,4.26,27.0
Delmonico, Nicky,547170,145,CWS,LF,27,20,4.50,27.0
Robertson, Daniel,621002,139,TB,3B,25,74,4.51,27.0
Kieboom, Carter,666198,120,WSH,SS,22,10,,27.0
Stewart, Christin,621514,116,DET,LF,26,58,,27.0
Dozier, Brian,572821,120,WSH,2B,32,65,4.47,27.0
Candelario, Jeimer,600869,116,DET,3B,26,51,4.42,27.0
Austin, Tyler,592122,137,SF,1B,28,29,,27.0
Perez, Hernan,541650,158,MIL,2B,28,46,4.42,27.0
Rendon, Anthony,543685,120,WSH,3B,29,64,,27.0
Reyes, Pablo,622569,134,PIT,LF,26,14,,27.0
Blackmon, Charlie,453568,115,COL,RF,33,98,4.31,27.0
Seager, Corey,608369,119,LAD,SS,25,102,4.48,27.0
Frazier, Adam,624428,134,PIT,2B,28,100,4.35,27.0
Ramirez, Jose,608070,114,CLE,3B,27,72,4.40,27.0
Simmons, Andrelton,592743,108,LAA,SS,30,102,4.61,26.9
Mancini, Trey,641820,110,BAL,RF,27,109,4.59,27.0
Jones, Adam,430945,109,ARI,RF,34,108,4.43,26.9
Rodriguez, Sean,446481,143,PHI,SS,34,13,,26.9
Canha, Mark,592192,133,OAK,1B,30,39,,26.9
Gonzalez, Carlos,471865,112,CHC,LF,34,58,4.30,26.9
Greiner, Grayson,606988,116,DET,C,27,55,4.51,26.9
Anderson, Brian,605119,146,MIA,3B,26,93,4.41,26.9
Devers, Rafael,646240,111,BOS,3B,23,115,4.27,26.8
Bruce, Jay,457803,143,PHI,RF,32,46,4.37,26.8
Peralta, David,444482,109,ARI,LF,32,109,4.38,26.8
Beaty, Matt,607461,119,LAD,1B,26,22,,26.8
Rodgers, Brendan,663898,115,COL,2B,23,22,,26.8
Mazara, Nomar,608577,140,TEX,RF,24,96,4.36,26.8
Torres, Gleyber,650402,147,NYY,SS,23,79,4.50,26.8
Iglesias, Jose,578428,113,CIN,SS,29,108,4.24,26.8
Abreu, Jose,547989,145,CWS,1B,32,98,4.52,26.8
Hechavarria, Adeiny,588751,121,NYM,2B,30,34,,26.8
Zobrist, Ben,450314,112,CHC,RF,38,45,4.36,26.8
LeMahieu, DJ,518934,147,NYY,2B,31,114,4.59,26.8
Hanson, Alen,593700,141,TOR,2B,27,18,,26.8
Polanco, Gregory,570256,134,PIT,RF,28,41,4.36,26.8
Schwarber, Kyle,656941,112,CHC,LF,26,55,4.32,26.8
Gomes, Yan,543228,120,WSH,C,32,47,4.54,26.8
Dietrich, Derek,518618,113,CIN,2B,30,50,4.32,26.7
Herrera, Odubel,546318,143,PHI,CF,28,49,4.25,26.7
Granderson, Curtis,434158,146,MIA,LF,38,49,4.34,26.7
Maile, Luke,571912,141,TOR,C,28,28,4.58,26.7
Drury, Brandon,592273,141,TOR,3B,27,74,4.46,26.7
Palka, Daniel,594953,145,CWS,RF,28,13,,26.7
Beckham, Tim,542921,136,SEA,SS,29,85,4.47,26.7
Santana, Domingo,570267,136,SEA,LF,27,85,4.55,26.7
Seager, Kyle,572122,136,SEA,3B,32,15,,26.7
Bell, Josh,605137,134,PIT,1B,27,115,4.50,26.7
Alberto, Hanser,593643,110,BAL,3B,27,93,4.35,26.7
Kipnis, Jason,543401,114,CLE,2B,32,66,4.36,26.7
Reyes, Franmil,614177,135,SD,RF,24,59,4.57,26.6
Murphy, John Ryan,571974,109,ARI,C,28,15,,26.7
Arraez, Luis,650333,142,MIN,2B,22,12,,26.6
Mercer, Jordy,474568,116,DET,SS,33,27,4.43,26.6
Cooper, Garrett,643265,146,MIA,RF,29,44,,26.6
Hicks, John,543308,116,DET,C,30,43,4.35,26.6
Longoria, Evan,446334,137,SF,3B,34,74,4.51,26.6
Martinez, J.D.,502110,111,BOS,DH,32,87,4.54,26.6
Alonso, Pete,624413,121,NYM,1B,25,88,4.46,26.6
Machado, Manny,592518,135,SD,SS,27,83,4.62,26.5
Naylor, Josh,647304,135,SD,RF,22,18,,26.5
Rojas, Miguel,500743,146,MIA,SS,30,95,4.50,26.5
Stassi, Max,545358,117,HOU,C,28,17,4.66,26.5
Mejia, Francisco,642336,135,SD,C,24,17,,26.5
Pederson, Joc,592626,119,LAD,LF,27,67,4.34,26.5
Olson, Matt,621566,133,OAK,1B,25,27,,26.5
Reddick, Josh,502210,117,HOU,RF,32,77,4.31,26.4
Knapp, Andrew,595284,143,PHI,C,28,19,,26.4
Descalso, Daniel,518614,112,CHC,2B,33,60,4.42,26.4
Benintendi, Andrew,643217,111,BOS,LF,25,83,4.35,26.4
Smith, Kevan,607345,108,LAA,C,31,41,4.64,26.4
Mayfield, Jack,608686,117,HOU,SS,29,12,,26.4
Pearce, Steve,456665,111,BOS,1B,36,32,4.55,26.4
Brantley, Michael,488726,117,HOU,LF,32,109,4.47,26.4
Goldschmidt, Paul,502671,138,STL,1B,32,72,4.50,26.4
Calhoun, Willie,641432,140,TEX,LF,25,11,,26.4
Cron, Kevin,605196,109,ARI,1B,26,11,,26.4
Davis, J.D.,605204,121,NYM,3B,26,62,4.60,26.4
Choo, Shin-Soo,425783,140,TEX,DH,37,83,4.41,26.4
McMahon, Ryan,641857,115,COL,2B,25,61,4.48,26.3
Diaz, Yandy,650490,139,TB,3B,28,89,4.50,26.3
Kemp, Tony,643393,117,HOU,2B,28,41,4.22,26.3
Vogt, Stephen,519390,137,SF,C,35,21,,26.3
Arcia, Orlando,606115,158,MIL,SS,25,103,4.43,26.3
Freeman, Freddie,518692,144,ATL,1B,30,100,4.43,26.3
Inciarte, Ender,542255,144,ATL,CF,29,66,4.21,26.3
Ramirez, Hanley,434670,114,CLE,DH,36,16,,26.2
Kinsler, Ian,435079,135,SD,2B,37,75,4.62,26.2
Smith Jr, Dwight,596105,110,BAL,LF,27,98,4.41,26.2
Urshela, Gio,570482,147,NYY,3B,28,71,4.45,26.2
Naquin, Tyler,571980,114,CLE,RF,28,44,4.48,26.2
McCann, James,543510,145,CWS,C,29,65,4.65,26.2
Miller, Brad,543543,114,CLE,2B,30,17,,26.2
Turner, Justin,457759,119,LAD,3B,35,70,4.48,26.2
Parra, Gerardo,467827,120,WSH,LF,32,66,4.42,26.2
Cron, C.J.,543068,142,MIN,1B,29,84,4.61,26.2
Guerrero Jr., Vladimir,665489,141,TOR,3B,20,55,4.65,26.2
Beckham, Gordon,493596,116,DET,SS,33,37,,26.1
Braun, Ryan,460075,158,MIL,LF,36,96,4.46,26.1
Arenado, Nolan,571448,115,COL,3B,28,101,4.49,26.1
Garver, Mitch,641598,142,MIN,C,28,27,4.59,26.1
Martin, Russell,431145,119,LAD,C,36,33,,26.1
Sogard, Eric,519299,141,TOR,2B,33,47,4.33,26.1
Sano, Miguel,593934,142,MIN,3B,26,23,,26.1
Piscotty, Stephen,572039,133,OAK,RF,28,100,4.57,26.0
Zunino, Mike,572287,139,TB,C,28,40,4.55,26.0
Markakis, Nick,455976,144,ATL,RF,36,117,4.41,26.0
Voit, Luke,572228,147,NYY,1B,28,84,4.66,26.0
Martinez, Jose,500874,138,STL,RF,31,65,4.58,26.0
Zimmerman, Ryan,475582,120,WSH,1B,35,33,4.55,26.0
Adams, Matt,571431,120,WSH,1B,31,35,4.64,26.0
Diaz, Elias,553869,134,PIT,C,29,56,4.68,26.0
Murphy, Tom,608596,136,SEA,C,28,17,,26.0
Gonzalez, Marwin,503556,142,MIN,3B,30,81,4.48,26.0
Guzman, Ronald,608597,140,TEX,1B,25,38,,25.9
Plawecki, Kevin,608700,114,CLE,C,28,30,,25.9
Kang, Jung Ho,628356,134,PIT,3B,32,32,4.61,25.9
Castro, Jason,488771,142,MIN,C,32,33,,25.9
Cozart, Zack,446359,108,LAA,3B,34,24,4.55,25.9
Calhoun, Kole,594777,108,LAA,RF,32,70,4.50,25.9
Suarez, Eugenio,553993,113,CIN,3B,28,72,4.71,25.9
Holt, Brock,571788,111,BOS,2B,31,27,,25.9
Suzuki, Kurt,435559,120,WSH,C,36,37,4.70,25.9
Healy, Ryon,592387,136,SEA,3B,27,65,4.61,25.9
Hoskins, Rhys,656555,143,PHI,1B,26,71,4.59,25.8
Thames, Eric,519346,158,MIL,1B,33,36,,25.8
Davis, Khris,501981,133,OAK,DH,32,57,4.84,25.8
Smith, Dominic,642086,121,NYM,LF,24,33,,25.8
Wolters, Tony,547172,115,COL,C,27,73,4.63,25.8
Joyce, Matt,459964,144,ATL,LF,35,17,,25.8
Adrianza, Ehire,501303,142,MIN,3B,30,41,,25.8
Walker, Neil,435522,146,MIA,1B,34,56,4.56,25.8
La Stella, Tommy,600303,108,LAA,2B,30,83,4.50,25.8
Phegley, Josh,572033,133,OAK,C,31,39,,25.7
Galvis, Freddy,520471,141,TOR,SS,30,77,,25.7
Hosmer, Eric,543333,135,SD,1B,30,104,4.51,25.7
Mathis, Jeff,425772,140,TEX,C,36,28,4.59,25.7
Flores, Wilmer,527038,109,ARI,2B,28,59,4.58,25.7
Ruiz, Rio,547004,110,BAL,3B,25,65,4.63,25.7
Nido, Tomas,621512,121,NYM,C,25,15,,25.7
France, Ty,664034,135,SD,3B,25,42,4.73,25.7
VanMeter, Josh,642165,113,CIN,LF,24,10,,25.7
Vazquez, Christian,543877,111,BOS,C,29,68,4.50,25.7
Gallagher, Cam,595956,118,KC,C,27,27,4.75,25.6
Romine, Austin,519222,147,NYY,C,31,34,4.63,25.6
Cabrera, Melky,466320,134,PIT,RF,35,82,4.57,25.6
Donaldson, Josh,518626,144,ATL,3B,34,73,4.40,25.6
Murphy, Daniel,502517,115,COL,1B,34,57,4.43,25.6
Carpenter, Matt,572761,138,STL,3B,34,50,4.61,25.6
Freese, David,501896,119,LAD,1B,36,48,4.55,25.6
Kelly, Carson,608348,109,ARI,C,25,55,4.69,25.5
Castro, Harold,605612,116,DET,2B,26,12,,25.5
Gordon, Alex,460086,118,KC,LF,35,111,4.55,25.5
Panik, Joe,605412,137,SF,2B,29,91,4.53,25.5
Shaw, Travis,543768,158,MIL,3B,29,33,4.50,25.5
Cuthbert, Cheslor,596144,118,KC,3B,27,13,,25.5
Sanchez, Gary,596142,147,NYY,C,27,25,,25.5
Moustakas, Mike,519058,158,MIL,2B,31,73,4.61,25.5
Crawford, Brandon,543063,137,SF,SS,32,88,4.65,25.5
Solano, Donovan,456781,137,SF,SS,32,11,,25.5
Camargo, Johan,622666,144,ATL,3B,26,49,4.40,25.5
Lucroy, Jonathan,518960,108,LAA,C,33,69,4.64,25.5
Prado, Martin,445988,146,MIA,1B,36,74,4.69,25.5
Santana, Carlos,467793,114,CLE,1B,33,106,4.66,25.4
Choi, Ji-Man,596847,139,TB,1B,28,79,4.40,25.4
Reynolds, Mark,448602,115,COL,1B,36,25,,25.4
Rizzo, Anthony,519203,112,CHC,1B,30,79,4.61,25.4
Winker, Jesse,608385,113,CIN,LF,26,83,4.66,25.4
Kemp, Matt,461314,113,CIN,LF,35,22,4.68,25.4
Solarte, Yangervis,500208,137,SF,2B,32,37,4.75,25.4
Cabrera, Asdrubal,452678,140,TEX,3B,34,62,4.81,25.3
Franco, Maikel,596748,143,PHI,3B,27,88,4.82,25.3
Flowers, Tyler,452095,144,ATL,C,33,38,4.57,25.3
Walsh, Jared,665120,108,LAA,1B,26,12,,25.3
Votto, Joey,458015,113,CIN,1B,36,75,4.76,25.3
Hundley, Nick,460026,133,OAK,C,36,26,4.62,25.2
Chirinos, Robinson,455139,117,HOU,C,35,47,,25.2
Cervelli, Francisco,465041,134,PIT,C,33,41,4.62,25.2
Kendrick, Howie,435062,120,WSH,1B,36,72,4.74,25.2
Moreland, Mitch,519048,111,BOS,1B,34,57,4.47,25.2
Casali, Curt,592200,113,CIN,C,31,27,,25.1
White, Tyler,643603,117,HOU,DH,29,44,4.77,25.1
Caratini, Victor,605170,112,CHC,C,26,16,,25.0
Moran, Colin,592567,134,PIT,3B,27,66,4.74,25.0
Pina, Manny,444489,158,MIL,C,32,15,,25.0
Belt, Brandon,474832,137,SF,1B,31,52,,25.0
Pedroia, Dustin,456030,111,BOS,2B,36,11,,25.0
Cano, Robinson,429664,121,NYM,2B,37,78,4.57,24.9
Perez, Michael,605421,139,TB,C,27,16,,24.9
Cruz, Nelson,443558,142,MIN,DH,39,39,4.78,24.8
Tellez, Rowdy,642133,141,TOR,DH,24,54,4.80,24.8
Wynns, Austin,642851,110,BAL,C,29,22,,24.7
Perez, Roberto,547379,114,CLE,C,31,50,4.87,24.7
Davis, Chris,448801,110,BAL,1B,33,44,4.80,24.6
Vogelbach, Daniel,596129,136,SEA,DH,27,49,4.89,24.5
Grandal, Yasmani,518735,158,MIL,C,31,65,4.85,24.5
Bird, Greg,595885,147,NYY,1B,27,12,,24.4
Sandoval, Pablo,467055,137,SF,3B,33,53,,24.4
Iannetta, Chris,455104,115,COL,C,36,24,,24.4
Hedges, Austin,595978,135,SD,C,27,38,4.94,24.4
Kratz, Erik,456124,139,TB,C,39,17,,24.3
Avila, Alex,488671,109,ARI,C,32,21,,24.3
Frazier, Todd,453943,121,NYM,3B,33,41,4.65,24.3
Barnhart, Tucker,571466,113,CIN,C,28,43,4.71,24.2
Maldonado, Martin,455117,118,KC,C,33,56,4.87,24.2
Posey, Buster,457763,137,SF,C,32,78,4.90,24.1
Wieters, Matt,446308,138,STL,C,33,13,,24.1
Astudillo, Willians,553902,142,MIN,C,28,56,4.89,24.1
Duda, Lucas,446263,118,KC,DH,33,10,,24.0
Narvaez, Omar,553882,136,SEA,C,27,53,,23.9
Cabrera, Miguel,408234,116,DET,DH,36,71,4.98,23.9
Encarnacion, Edwin,429665,136,SEA,1B,36,54,4.86,23.9
Gyorko, Jedd,576397,138,STL,3B,31,18,,23.8
Bour, Justin,571506,108,LAA,1B,31,42,4.86,23.8
Wallach, Chad,595453,146,MIA,C,28,26,,23.6
