last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Fletcher, David,664058,2019,587,482,.290,.300,-.010,.390,.378,.012,.324,.328,-.004
LeMahieu, DJ,518934,2019,586,461,.326,.315,.011,.521,.504,.017,.380,.376,.004
Marte, Starling,516782,2019,586,451,.295,.303,-.008,.503,.497,.006,.357,.364,-.007
Conforto, Michael,624424,2019,583,368,.258,.248,.010,.489,.467,.022,.359,.355,.004
Andrus, Elvis,462101,2019,582,464,.274,.267,.007,.393,.381,.012,.303,.306,-.003
Eaton, Adam,594809,2019,582,419,.283,.272,.011,.435,.401,.034,.350,.338,.012
Gordon, Alex,460086,2019,581,428,.264,.253,.011,.402,.416,-.014,.321,.330,-.009
Yelich, Christian,592885,2019,580,374,.329,.310,.019,.671,.602,.069,.448,.423,.025
Pillar, Kevin,607680,2019,579,474,.262,.258,.004,.449,.396,.053,.308,.296,.012
Galvis, Freddy,520471,2019,577,409,.261,.231,.030,.436,.365,.071,.309,.273,.036
Rizzo, Anthony,519203,2019,576,402,.285,.291,-.006,.513,.479,.034,.389,.388,.001
Benintendi, Andrew,643217,2019,575,379,.273,.255,.018,.447,.433,.014,.342,.334,.008
Blackmon, Charlie,453568,2019,575,440,.319,.290,.029,.574,.497,.077,.392,.357,.035
Rendon, Anthony,543685,2019,574,424,.333,.321,.012,.623,.586,.037,.428,.421,.007
Garcia, Leury,544725,2019,571,413,.276,.246,.030,.375,.347,.028,.295,.275,.020
Calhoun, Kole,594777,2019,570,355,.231,.237,-.006,.467,.449,.018,.334,.334,.000
Segura, Jean,516416,2019,569,461,.282,.270,.012,.426,.391,.035,.323,.310,.013
Cain, Lorenzo,456715,2019,568,419,.252,.286,-.034,.352,.400,-.048,.296,.333,-.037
Ahmed, Nick,605113,2019,568,412,.262,.259,.003,.445,.415,.030,.326,.323,.003
Grandal, Yasmani,518735,2019,566,345,.254,.237,.017,.482,.460,.022,.370,.363,.007
Grichuk, Randal,545341,2019,565,379,.232,.232,.000,.440,.402,.038,.306,.298,.008
Belt, Brandon,474832,2019,562,368,.230,.240,-.010,.395,.436,-.041,.319,.344,-.025
Gurriel, Yuli,493329,2019,561,462,.304,.285,.019,.547,.413,.134,.374,.325,.049
Baez, Javier,595879,2019,560,377,.281,.267,.014,.532,.486,.046,.353,.335,.018
Realmuto, J.T.,592663,2019,559,396,.280,.279,.001,.501,.465,.036,.349,.347,.002
Puig, Yasiel,624577,2019,559,390,.257,.262,-.005,.456,.451,.005,.328,.333,-.005
Torres, Gleyber,650402,2019,558,394,.287,.265,.022,.550,.492,.058,.373,.350,.023
Robles, Victor,645302,2019,554,371,.247,.223,.024,.422,.353,.069,.318,.287,.031
Votto, Joey,458015,2019,553,373,.263,.254,.009,.413,.431,-.018,.333,.342,-.009
Frazier, Adam,624428,2019,548,437,.279,.276,.003,.419,.393,.026,.324,.318,.006
Nunez, Renato,600524,2019,548,374,.251,.256,-.005,.471,.464,.007,.333,.338,-.005
Schwarber, Kyle,656941,2019,544,340,.233,.257,-.024,.510,.516,-.006,.347,.366,-.019
Walker, Christian,572233,2019,543,339,.258,.259,-.001,.467,.490,-.023,.344,.357,-.013
Heyward, Jason,518792,2019,539,371,.254,.262,-.008,.441,.403,.038,.335,.330,.005
Turner, Justin,457759,2019,538,388,.291,.282,.009,.514,.496,.018,.375,.373,.002
Adames, Willy,642715,2019,537,352,.249,.241,.008,.404,.406,-.002,.309,.310,-.001
Muncy, Max,571970,2019,534,312,.253,.270,-.017,.525,.512,.013,.380,.388,-.008
Ramirez, Jose,608070,2019,532,406,.254,.268,-.014,.463,.441,.022,.332,.341,-.009
Smith, Mallex,605480,2019,529,344,.231,.219,.012,.347,.295,.052,.286,.269,.017
Meadows, Austin,640457,2019,527,356,.288,.272,.016,.557,.508,.049,.380,.361,.019
Rosario, Eddie,592696,2019,526,429,.273,.261,.012,.487,.462,.025,.327,.320,.007
Moustakas, Mike,519058,2019,526,387,.264,.258,.006,.537,.493,.044,.364,.351,.013
Odor, Rougned,596059,2019,521,311,.203,.221,-.018,.426,.433,-.007,.301,.315,-.014
Anderson, Brian,605119,2019,520,348,.261,.257,.004,.468,.443,.025,.346,.343,.003
Vogelbach, Daniel,596129,2019,520,298,.213,.225,-.012,.459,.438,.021,.345,.348,-.003
Dozier, Hunter,641531,2019,519,341,.289,.270,.019,.546,.484,.062,.379,.356,.023
Wong, Kolten,543939,2019,515,381,.281,.247,.034,.420,.351,.069,.336,.302,.034
Reddick, Josh,502210,2019,514,418,.268,.270,-.002,.394,.378,.016,.302,.307,-.005
McNeil, Jeff,643446,2019,513,391,.325,.290,.035,.536,.463,.073,.395,.360,.035
Crawford, Brandon,543063,2019,509,354,.225,.237,-.012,.354,.386,-.032,.284,.305,-.021
Cabrera, Miguel,408234,2019,504,358,.289,.272,.017,.400,.422,-.022,.325,.331,-.006
Kipnis, Jason,543401,2019,504,375,.246,.255,-.009,.412,.401,.011,.305,.314,-.009
Reyes, Franmil,614177,2019,503,314,.248,.256,-.008,.511,.518,-.007,.342,.359,-.017
Reynolds, Bryan,668804,2019,502,340,.326,.297,.029,.523,.467,.056,.387,.361,.026
Springer, George,543807,2019,502,336,.300,.286,.014,.594,.554,.040,.409,.398,.011
Bradley Jr., Jackie,598265,2019,502,305,.222,.232,-.010,.413,.401,.012,.316,.323,-.007
Fowler, Dexter,451594,2019,496,316,.249,.259,-.010,.420,.418,.002,.333,.342,-.009
Santana, Domingo,570267,2019,496,284,.256,.255,.001,.449,.477,-.028,.334,.349,-.015
Garcia, Avisail,541645,2019,496,338,.274,.269,.005,.456,.479,-.023,.333,.343,-.010
Sanchez, Yolmer,570560,2019,493,344,.250,.236,.014,.320,.307,.013,.284,.276,.008
Altuve, Jose,514888,2019,492,376,.303,.276,.027,.547,.458,.089,.381,.344,.037
Gardner, Brett,458731,2019,491,348,.247,.240,.007,.489,.354,.135,.343,.300,.043
Moncada, Yoan,660162,2019,491,314,.299,.284,.015,.528,.510,.018,.373,.365,.008
Turner, Trea,607208,2019,490,352,.299,.275,.024,.482,.432,.050,.355,.332,.023
Arcia, Orlando,606115,2019,489,350,.218,.223,-.005,.345,.351,-.006,.270,.281,-.011
Iglesias, Jose,578428,2019,488,403,.288,.270,.018,.410,.363,.047,.308,.288,.020
Alberto, Hanser,593643,2019,488,427,.320,.289,.031,.445,.388,.057,.336,.305,.031
Seager, Corey,608369,2019,487,352,.260,.244,.016,.459,.427,.032,.333,.320,.013
Jones, Adam,430945,2019,487,358,.266,.257,.009,.426,.417,.009,.317,.315,.002
Swanson, Dansby,621020,2019,484,330,.253,.273,-.020,.440,.466,-.026,.326,.351,-.025
Pujols, Albert,405395,2019,484,378,.249,.245,.004,.445,.416,.029,.321,.317,.004
McMahon, Ryan,641857,2019,483,289,.256,.243,.013,.451,.419,.032,.337,.325,.012
Encarnacion, Edwin,429665,2019,483,316,.243,.235,.008,.524,.485,.039,.364,.355,.009
Ramos, Wilson,467092,2019,482,379,.295,.270,.025,.430,.410,.020,.337,.322,.015
Panik, Joe,605412,2019,477,386,.244,.241,.003,.331,.351,-.020,.284,.297,-.013
Olson, Matt,621566,2019,477,305,.274,.283,-.009,.552,.569,-.017,.380,.395,-.015
Davis, Khris,501981,2019,477,310,.222,.234,-.012,.383,.423,-.040,.289,.316,-.027
Profar, Jurickson,595777,2019,477,355,.217,.246,-.029,.416,.410,.006,.306,.321,-.015
Vazquez, Christian,543877,2019,474,356,.268,.246,.022,.455,.418,.037,.319,.303,.016
Ozuna, Marcell,542303,2019,473,327,.253,.288,-.035,.489,.538,-.049,.346,.383,-.037
Goodrum, Niko,592348,2019,472,287,.248,.237,.011,.421,.376,.045,.319,.304,.015
Cron, C.J.,543068,2019,470,329,.254,.272,-.018,.478,.538,-.060,.334,.370,-.036
Braun, Ryan,460075,2019,468,330,.279,.268,.011,.480,.453,.027,.346,.338,.008
Moran, Colin,592567,2019,467,324,.283,.259,.024,.443,.426,.017,.327,.315,.012
Newman, Kevin,621028,2019,466,378,.312,.291,.021,.442,.383,.059,.345,.319,.026
Pederson, Joc,592626,2019,465,307,.250,.251,-.001,.537,.459,.078,.367,.346,.021
Smoak, Justin,475253,2019,464,286,.212,.248,-.036,.406,.479,-.073,.332,.372,-.040
Renfroe, Hunter,592669,2019,462,277,.222,.218,.004,.498,.436,.062,.328,.310,.018
Cruz, Nelson,443558,2019,460,285,.300,.288,.012,.618,.618,.000,.413,.416,-.003
Cabrera, Asdrubal,452678,2019,459,310,.256,.226,.030,.433,.369,.064,.330,.302,.028
Guerrero Jr., Vladimir,665489,2019,458,333,.274,.267,.007,.452,.439,.013,.343,.341,.002
Dozier, Brian,572821,2019,456,292,.234,.227,.007,.427,.402,.025,.331,.324,.007
Grossman, Robbie,543257,2019,456,318,.249,.262,-.013,.360,.372,-.012,.310,.326,-.016
Rojas, Miguel,500743,2019,455,362,.285,.271,.014,.382,.366,.016,.312,.308,.004
Anderson, Tim,641313,2019,455,345,.333,.293,.040,.510,.446,.064,.367,.329,.038
Mazara, Nomar,608577,2019,453,318,.268,.270,-.002,.461,.470,-.009,.328,.340,-.012
Voit, Luke,572228,2019,453,256,.275,.247,.028,.479,.484,-.005,.372,.366,.006
Santana, Danny,542454,2019,452,295,.283,.270,.013,.529,.471,.058,.349,.330,.019
Frazier, Todd,453943,2019,450,308,.239,.230,.009,.438,.386,.052,.323,.304,.019
Desmond, Ian,435622,2019,448,300,.257,.269,-.012,.472,.449,.023,.333,.334,-.001
Kingery, Scott,664068,2019,447,279,.264,.240,.024,.494,.417,.077,.344,.312,.032
Longoria, Evan,446334,2019,445,307,.259,.273,-.014,.448,.487,-.039,.330,.355,-.025
Murphy, Daniel,502517,2019,442,339,.278,.245,.033,.462,.358,.104,.336,.291,.045
Jimenez, Eloy,650391,2019,441,294,.251,.256,-.005,.480,.484,-.004,.329,.337,-.008
Carpenter, Matt,572761,2019,441,264,.226,.225,.001,.379,.392,-.013,.315,.323,-.008
Kiermaier, Kevin,595281,2019,441,322,.238,.247,-.009,.414,.384,.030,.297,.296,.001
Myers, Wil,571976,2019,440,244,.244,.243,.001,.421,.430,-.009,.323,.330,-.007
Choi, Ji-Man,596847,2019,438,285,.259,.255,.004,.438,.451,-.013,.344,.353,-.009
Sanchez, Gary,596142,2019,438,269,.234,.244,-.010,.532,.540,-.008,.354,.368,-.014
Gonzalez, Marwin,503556,2019,437,309,.263,.254,.009,.420,.423,-.003,.319,.320,-.001
McCann, James,543510,2019,436,278,.273,.257,.016,.457,.433,.024,.334,.323,.011
Narvaez, Omar,553882,2019,436,304,.275,.245,.030,.451,.401,.050,.344,.319,.025
Sogard, Eric,519299,2019,436,335,.295,.267,.028,.464,.362,.102,.351,.308,.043
Canha, Mark,592192,2019,435,263,.269,.240,.029,.514,.439,.075,.386,.354,.032
Laureano, Ramon,657656,2019,431,281,.282,.267,.015,.513,.462,.051,.356,.339,.017
Ohtani, Shohei,660271,2019,425,278,.286,.278,.008,.505,.475,.030,.357,.350,.007
Urshela, Gio,570482,2019,423,323,.331,.302,.029,.562,.500,.062,.391,.361,.030
Hernandez, Enrique,571771,2019,423,296,.243,.242,.001,.427,.403,.024,.314,.312,.002
Peralta, David,444482,2019,423,296,.275,.249,.026,.461,.370,.091,.342,.303,.039
Mercado, Oscar,640458,2019,420,320,.270,.264,.006,.420,.384,.036,.317,.308,.009
Schoop, Jonathan,570731,2019,419,285,.255,.253,.002,.479,.441,.038,.333,.323,.010
Dyson, Jarrod,502481,2019,417,294,.237,.232,.005,.332,.301,.031,.289,.278,.011
Markakis, Nick,455976,2019,416,318,.284,.294,-.010,.429,.418,.011,.339,.348,-.009
Cooper, Garrett,643265,2019,416,269,.283,.267,.016,.451,.455,-.004,.342,.343,-.001
Senzel, Nick,669222,2019,414,275,.256,.237,.019,.427,.387,.040,.318,.299,.019
Dahl, David,621311,2019,413,271,.302,.260,.042,.524,.461,.063,.368,.336,.032
Posey, Buster,457763,2019,412,308,.257,.252,.005,.370,.408,-.038,.303,.320,-.017
Alfaro, Jorge,595751,2019,412,243,.273,.247,.026,.422,.424,-.002,.318,.312,.006
Hernandez, Teoscar,606192,2019,412,235,.218,.206,.012,.445,.412,.033,.314,.301,.013
Drury, Brandon,592273,2019,410,282,.219,.243,-.024,.381,.420,-.039,.275,.309,-.034
Perez, Roberto,547379,2019,408,246,.229,.220,.009,.444,.434,.010,.321,.321,.000
Tapia, Raimel,606132,2019,408,302,.281,.260,.021,.425,.372,.053,.317,.292,.025
Goodwin, Brian,571718,2019,405,263,.272,.244,.028,.488,.414,.074,.345,.313,.032
Chirinos, Robinson,455139,2019,404,229,.235,.210,.025,.444,.386,.058,.337,.313,.024
Bauers, Jake,641343,2019,404,249,.230,.223,.007,.382,.347,.035,.304,.294,.010
Davis, J.D.,605204,2019,404,277,.305,.305,.000,.511,.522,-.011,.372,.382,-.010
Thames, Eric,519346,2019,402,223,.252,.230,.022,.504,.426,.078,.361,.332,.029
Mondesi, Adalberto,609275,2019,400,269,.270,.240,.030,.439,.381,.058,.309,.287,.022
Margot, Manuel,622534,2019,398,286,.246,.231,.015,.411,.326,.085,.314,.282,.032
Rengifo, Luis,650859,2019,396,263,.236,.235,.001,.366,.359,.007,.302,.306,-.004
Judge, Aaron,592450,2019,389,213,.272,.279,-.007,.511,.544,-.033,.375,.396,-.021
Piscotty, Stephen,572039,2019,389,274,.252,.249,.003,.416,.429,-.013,.313,.323,-.010
Ramirez, Harold,623912,2019,389,288,.272,.271,.001,.413,.404,.009,.309,.310,-.001
Franco, Maikel,596748,2019,388,302,.236,.244,-.008,.415,.414,.001,.288,.298,-.010
Gordon, Dee,543829,2019,386,316,.278,.252,.026,.366,.306,.060,.288,.261,.027
Molina, Yadier,425877,2019,384,319,.271,.265,.006,.399,.411,-.012,.305,.312,-.007
Winker, Jesse,608385,2019,384,278,.269,.279,-.010,.473,.441,.032,.355,.353,.002
Chavis, Michael,656308,2019,382,220,.254,.220,.034,.444,.400,.044,.327,.301,.026
Sano, Miguel,593934,2019,380,191,.238,.227,.011,.546,.511,.035,.371,.359,.012
Dixon, Brandon,641525,2019,379,232,.247,.238,.009,.446,.442,.004,.311,.313,-.002
Verdugo, Alex,657077,2019,377,300,.294,.285,.009,.475,.441,.034,.345,.334,.011
Wolters, Tony,547172,2019,376,277,.272,.250,.022,.341,.320,.021,.297,.284,.013
Seager, Kyle,572122,2019,375,256,.248,.256,-.008,.508,.469,.039,.354,.351,.003
Cabrera, Melky,466320,2019,373,317,.282,.277,.005,.406,.372,.034,.308,.298,.010
Tatis Jr., Fernando,665487,2019,372,227,.317,.255,.062,.590,.473,.117,.404,.345,.059
Forsythe, Logan,523253,2019,367,219,.227,.236,-.009,.353,.389,-.036,.301,.320,-.019
Cano, Robinson,429664,2019,367,284,.262,.274,-.012,.437,.436,.001,.313,.324,-.011
Simmons, Andrelton,592743,2019,366,313,.256,.227,.029,.355,.303,.052,.285,.255,.030
Lopez, Nicky,670032,2019,365,299,.226,.223,.003,.299,.277,.022,.245,.238,.007
Taylor, Chris,621035,2019,364,232,.264,.235,.029,.469,.375,.094,.338,.299,.039
Jansen, Danny,643376,2019,362,256,.208,.247,-.039,.361,.406,-.045,.279,.316,-.037
DeShields, Delino,592261,2019,362,231,.246,.224,.022,.345,.315,.030,.298,.282,.016
Contreras, Willson,575929,2019,361,225,.277,.248,.029,.538,.470,.068,.380,.350,.030
Biggio, Cavan,624415,2019,361,194,.213,.230,-.017,.392,.410,-.018,.328,.345,-.017
Santander, Anthony,623993,2019,360,269,.278,.263,.015,.500,.446,.054,.341,.319,.022
Martinez, Jose,500874,2019,358,246,.266,.274,-.008,.398,.459,-.061,.323,.350,-.027
Tellez, Rowdy,642133,2019,357,226,.223,.247,-.024,.443,.458,-.015,.305,.328,-.023
Smith Jr, Dwight,596105,2019,357,259,.236,.242,-.006,.408,.376,.032,.299,.297,.002
Stewart, Christin,621514,2019,353,230,.243,.242,.001,.417,.431,-.014,.314,.325,-.011
Ruiz, Rio,547004,2019,352,238,.234,.229,.005,.370,.344,.026,.294,.288,.006
Almora Jr., Albert,546991,2019,350,275,.239,.253,-.014,.388,.373,.015,.279,.283,-.004
Maldonado, Martin,455117,2019,348,237,.223,.219,.004,.398,.374,.024,.297,.292,.005
Yastrzemski, Mike,573262,2019,346,227,.268,.247,.021,.524,.483,.041,.356,.336,.020
Aguilar, Jesus,542583,2019,345,225,.235,.245,-.010,.378,.429,-.051,.309,.335,-.026
Granderson, Curtis,434158,2019,345,210,.185,.212,-.027,.358,.365,-.007,.278,.299,-.021
Peraza, Jose,606299,2019,344,270,.244,.260,-.016,.356,.352,.004,.281,.293,-.012
Diaz, Yandy,650490,2019,344,248,.270,.276,-.006,.480,.469,.011,.348,.355,-.007
d'Arnaud, Travis,518595,2019,343,235,.247,.256,-.009,.447,.446,.001,.326,.340,-.014
Walker, Neil,435522,2019,342,237,.261,.278,-.017,.376,.435,-.059,.315,.348,-.033
Bader, Harrison,664056,2019,338,201,.210,.227,-.017,.350,.396,-.046,.295,.324,-.029
Crawford, J.P.,641487,2019,338,230,.241,.243,-.002,.397,.343,.054,.311,.301,.010
Candelario, Jeimer,600869,2019,335,210,.202,.214,-.012,.327,.336,-.009,.275,.286,-.011
O'Hearn, Ryan,656811,2019,334,212,.194,.226,-.032,.367,.401,-.034,.285,.315,-.030
Jones, JaCoby,592444,2019,333,206,.235,.244,-.009,.430,.421,.009,.315,.321,-.006
Pinder, Chad,640461,2019,333,233,.241,.246,-.005,.420,.413,.007,.302,.307,-.005
Kelly, Carson,608348,2019,331,216,.250,.247,.003,.504,.450,.054,.354,.338,.016
Hamilton, Billy,571740,2019,331,222,.215,.226,-.011,.272,.261,.011,.248,.253,-.005
Bote, David,623520,2019,331,199,.264,.254,.010,.440,.384,.056,.344,.326,.018
Beckham, Tim,542921,2019,328,202,.237,.223,.014,.461,.415,.046,.319,.302,.017
Kendrick, Howie,435062,2019,326,256,.332,.322,.010,.553,.578,-.025,.391,.408,-.017
Davis, Chris,448801,2019,325,159,.172,.196,-.024,.305,.347,-.042,.253,.283,-.030
Hedges, Austin,595978,2019,324,198,.184,.199,-.015,.324,.343,-.019,.251,.267,-.016
Alonso, Yonder,475174,2019,323,215,.199,.235,-.036,.348,.379,-.031,.281,.314,-.033
Garver, Mitch,641598,2019,321,201,.275,.244,.031,.646,.536,.110,.416,.372,.044
Gurriel Jr., Lourdes,666971,2019,321,218,.279,.252,.027,.548,.484,.064,.367,.340,.027
Wilkerson, Stevie,592859,2019,321,197,.213,.194,.019,.372,.298,.074,.276,.244,.032
Phegley, Josh,572033,2019,320,245,.246,.246,.000,.420,.365,.055,.301,.287,.014
Garcia, Greg,594824,2019,320,198,.249,.219,.030,.361,.294,.067,.322,.293,.029
Severino, Pedro,600474,2019,319,219,.255,.261,-.006,.427,.413,.014,.323,.327,-.004
Barnhart, Tucker,571466,2019,318,203,.230,.218,.012,.372,.314,.058,.302,.281,.021
Adams, Matt,571431,2019,318,188,.226,.226,.000,.476,.470,.006,.315,.322,-.007
Alvarez, Yordan,670541,2019,316,193,.316,.292,.024,.665,.602,.063,.441,.418,.023
Pence, Hunter,452254,2019,316,219,.297,.281,.016,.552,.491,.061,.382,.358,.024
Bruce, Jay,457803,2019,315,217,.226,.237,-.011,.541,.521,.020,.335,.341,-.006
Gamel, Ben,592325,2019,315,189,.255,.239,.016,.385,.352,.033,.314,.304,.010
Lucroy, Jonathan,518960,2019,314,236,.238,.239,-.001,.355,.362,-.007,.288,.297,-.009
Castro, Harold,605612,2019,313,231,.293,.258,.035,.383,.358,.025,.295,.276,.019
La Stella, Tommy,600303,2019,312,256,.300,.293,.007,.495,.463,.032,.362,.352,.010
Correa, Carlos,621043,2019,310,203,.279,.286,-.007,.558,.526,.032,.381,.388,-.007
Cuthbert, Cheslor,596144,2019,308,229,.245,.247,-.002,.372,.363,.009,.285,.286,-.001
Lowe, Brandon,664040,2019,307,176,.276,.237,.039,.523,.474,.049,.363,.338,.025
Diaz, Elias,553869,2019,304,229,.248,.236,.012,.317,.317,.000,.272,.272,.000
Hicks, John,543308,2019,303,191,.210,.200,.010,.372,.337,.035,.261,.247,.014
Arraez, Luis,650333,2019,303,247,.347,.299,.048,.448,.411,.037,.373,.345,.028
Gomes, Yan,543228,2019,302,195,.212,.211,.001,.356,.368,-.012,.291,.297,-.006
Suzuki, Kurt,435559,2019,301,240,.260,.272,-.012,.473,.434,.039,.335,.333,.002
Dietrich, Derek,518618,2019,297,170,.194,.218,-.024,.479,.437,.042,.349,.352,-.003
Gallo, Joey,608336,2019,297,129,.253,.224,.029,.598,.581,.017,.406,.396,.010
Sandoval, Pablo,467055,2019,296,210,.268,.271,-.003,.507,.469,.038,.341,.337,.004
Tauchman, Mike,643565,2019,296,190,.277,.242,.035,.504,.397,.107,.368,.320,.048
Pollock, A.J.,572041,2019,296,203,.260,.265,-.005,.475,.446,.029,.337,.338,-.001
Marisnick, Jake,545350,2019,295,185,.241,.203,.038,.426,.330,.096,.310,.262,.048
Hiura, Keston,669374,2019,295,177,.301,.263,.038,.571,.510,.061,.394,.362,.032
Buxton, Byron,621439,2019,295,206,.262,.247,.015,.513,.421,.092,.345,.310,.035
Martin, Richie,621006,2019,294,195,.196,.211,-.015,.296,.282,.014,.239,.243,-.004
Naquin, Tyler,571980,2019,294,212,.288,.274,.014,.467,.458,.009,.334,.328,.006
Gregorius, Didi,544369,2019,289,234,.252,.245,.007,.478,.403,.075,.319,.296,.023
McCann, Brian,435263,2019,289,211,.256,.239,.017,.417,.393,.024,.317,.313,.004
Haniger, Mitch,571745,2019,283,167,.220,.219,.001,.463,.433,.030,.330,.324,.006
Flowers, Tyler,452095,2019,283,156,.235,.199,.036,.433,.375,.058,.322,.293,.029
Moreland, Mitch,519048,2019,282,189,.246,.253,-.007,.492,.474,.018,.347,.352,-.005
Parra, Gerardo,467827,2019,281,201,.219,.237,-.018,.355,.351,.004,.275,.287,-.012
Kinsler, Ian,435079,2019,281,205,.217,.200,.017,.368,.289,.079,.280,.247,.033
Duggar, Steven,621453,2019,281,186,.234,.239,-.005,.341,.344,-.003,.268,.278,-.010
Dickerson, Corey,572816,2019,279,207,.304,.261,.043,.565,.459,.106,.372,.320,.052
White, Tyler,643603,2019,279,165,.208,.199,.009,.304,.295,.009,.276,.273,.003
Zunino, Mike,572287,2019,276,160,.170,.195,-.025,.324,.380,-.056,.246,.279,-.033
Edman, Tommy,669242,2019,275,215,.278,.267,.011,.441,.398,.043,.319,.302,.017
Calhoun, Willie,641432,2019,274,217,.272,.262,.010,.537,.431,.106,.356,.321,.035
Riley, Austin,663586,2019,267,151,.237,.231,.006,.494,.465,.029,.325,.320,.005
Martin, Leonys,547982,2019,264,161,.199,.190,.009,.343,.330,.013,.272,.266,.006
Lagares, Juan,501571,2019,263,174,.210,.206,.004,.307,.285,.022,.251,.246,.005
Rodriguez, Ronny,500135,2019,262,177,.220,.215,.005,.451,.410,.041,.289,.283,.006
McCutchen, Andrew,457705,2019,262,164,.256,.250,.006,.457,.427,.030,.362,.354,.008
Upton, Justin,457708,2019,256,146,.215,.212,.003,.416,.398,.018,.311,.308,.003
Guzman, Ronald,608597,2019,255,149,.214,.234,-.020,.418,.426,-.008,.309,.330,-.021
